,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Delta,1,1xjIDl9Eh5lBMjIRqMnAZL,42,spotify:track:1xjIDl9Eh5lBMjIRqMnAZL,0.227,0.331,0.523,0.00114,0.144,-8.321,0.0375,87.782,0.305,57
3,Delta,4,5V0nHhlYIjUMfcSoJ5ziRD,Beloved,spotify:track:5V0nHhlYIjUMfcSoJ5ziRD,0.00539,0.445,0.773,0.153,0.131,-7.227,0.0441,191.966,0.313,64
4,Delta,5,4W3LpDT8Z1DrlzOrLUkoo4,The Wild,spotify:track:4W3LpDT8Z1DrlzOrLUkoo4,0.734,0.465,0.267,0.678,0.205,-14.264,0.0315,132.002,0.0757,58
5,Delta,6,3JD5xfa8pgJi0AzdRCRETW,October Skies,spotify:track:3JD5xfa8pgJi0AzdRCRETW,0.837,0.468,0.182,0.0132,0.0678,-15.562,0.0401,155.102,0.0382,55
7,Delta,8,0SwB9nk7EfDUnIGbz7Go9G,Rose Of Sharon,spotify:track:0SwB9nk7EfDUnIGbz7Go9G,0.328,0.67,0.567,0.015,0.0873,-9.732,0.0357,139.995,0.434,56
8,Delta,9,2Ol7kKQl9x3yCD1vA3B4xh,Picture You,spotify:track:2Ol7kKQl9x3yCD1vA3B4xh,0.443,0.642,0.52,0.00714,0.153,-10.925,0.0822,159.883,0.32,57
12,Delta,13,496cFi1qz79MwI0q6wKh2r,Forever,spotify:track:496cFi1qz79MwI0q6wKh2r,0.386,0.388,0.371,0.000593,0.121,-10.096,0.0405,137.693,0.0958,55
13,Delta,14,39r3UkUOYMh9pPQmKSZnuE,Delta,spotify:track:39r3UkUOYMh9pPQmKSZnuE,0.111,0.539,0.431,0.00262,0.0535,-10.117,0.0433,119.489,0.204,59
15,Delta,2,3W3RQneS2yhA7E5l1dJW18,Guiding Light,spotify:track:3W3RQneS2yhA7E5l1dJW18,0.063,0.553,0.711,8.41e-06,0.0759,-7.714,0.0453,99.997,0.299,66
16,Delta,3,47DKI4RxI8ZW0sBqDenMhO,Woman,spotify:track:47DKI4RxI8ZW0sBqDenMhO,0.662,0.592,0.555,0.452,0.111,-10.499,0.0381,156.957,0.142,65
20,Delta,7,6NXKNt6jyg6vPUa8rKS7BA,Slip Away,spotify:track:6NXKNt6jyg6vPUa8rKS7BA,0.128,0.503,0.598,0.0983,0.106,-8.273,0.0362,162.905,0.196,58
23,Delta,10,2nrlxvu6Ygdqlp0xJNeha7,Darkness Visible,spotify:track:2nrlxvu6Ygdqlp0xJNeha7,0.0855,0.391,0.626,0.758,0.0667,-9.286,0.071,160.222,0.217,51
